,review,score
4483050,"3:10 to Yuma is a classis western with a powerful story.  Glenn Ford and Van Heflin give their normal outstanding performance.  I once again cannot believe the nerve of todays producers and directors thinking that they can improve on a classic with todays mediocre actors with their remakes.  They did not learn anything from such disasters as ""All The King's Men"".  I have no intention of seeing the remake of ""3:10 to Yuma"", I will stay with the original.  They did not use computer enhancements and special effects when the original was made.", 5.0
6877816,"One of the earliest and best horror films of our age. Nosferatu stars Max Shreck as the horrific vampire, Nosferatu, or Count Orlock. Every single time that the vampire walked into the room towards Harker, I felt compelled to hide under a table or a safe area!<br /><br /> This is the story of a young townsman named Jonathan Harker, who is sent a business letter by a certain &quot;Orlock&quot;, whom Harker simply knows as a rich count. So, Harker embarks on a long journey through mysterious mountainous, woodsy, and shrouded places to the count's ominous castle. The next events in this silent masterpiece are too terrifying to explain. The best horror film, beside Phantom of the Opera and Metropolis, ever made in our early history. Possibly even in our long century.<br /><br /> Are we ready for some serious discussion? Can we talk? Unfortunately, countless bad prints, both VHS and DVD, have been made of Nosferatu. The Goodtimes Video release has grainy image quality, but is in the original black & white color format. It does not have a musical score.<br /><br /> A tinted version by Type O Negative has pretty good image quality, but a distracting soundtrack.<br /><br /> Blackhawk has produced a fairly credible DVD of this classic, with fuzzy image quality but a classical music score.<br /><br /> Madacy has released an expensive DVD. The picture and sound quality also leave something to be desired.<br /><br /> Yet another VHS print was duplicated by Timeless Video. I own a VHS version of Metropolis released by Timeless Video, and found it to be better than I expected, though the quality is shoddy compared to the Kino Video print.<br /><br /> The Kino DVD of Nosferatu is the best on the market yet. The picture quality is fine, and the soundtrack is suitable.<br /><br /> This old horror classic is guaranteed to send a chill up your spine. So purchase the Kino version today!", 5.0
4640333,"A heart wrenching story of an unruly inmate (Jack Nicholson) trying to bring dignity to the lives of other inmates living in the same mental institution. However, Nurse Ratchet is there to oppose him, to make him think, to stop the provocation.<br /><br />Jack plays a likeable fellow and finds ways to do things like take them out of the institution for an afternoon boat ride. The authorities at the institution become sorely tired of his unruliness and the distress he causes, but Jack's influences have worn off. Albeit, too late for Jack.<br /><br />The clever screen play provides laughs intended to provoke the establishment--a favorite pastime of the 1970's. The dialogue between inmates is excellent. Can't be beat.<br /><br />This is an excellent movie with an extra DVD that includes many features.", 5.0
2734946,"I have loved this movie for years. It's a sweet little Xmas film with heart and plenty of ""make me smile"" moments. One of my absolute favorites for the holidays.", 5.0
2860234,"I loved the book but missed the movie when it came out. I put off buying the DVD because I couldn't see the lead actors as Russian. Finally I bought it and enjoyed the movie, except that William Hurt's attempt at sounding Russian was pretty bad. He sounded more British than anything else. A coach could have been used; or better yet, a Russian actor. Or no accent at all. If the movie was made today I bet they would have fixed that, but at the time Hurt was really hot and you have to sell tickets.<br /><br />Anyway, enough of this; if you can suspend your disbelief about Hurt's accent, the movie is interesting and engaging, and it was a great story. I did think the detective solved the case rather suddenly; it might have been better to reveal the plot more gradually. But movies have to simplify things to be watchable.", 4.0
2925919,"This is an excellent film in many ways.  It is unique, thought-provoking and deals with unflinching honesty about one of the most important yet sloppily analysed facets of our modern liberal society, drug addiction, whether legal or illegal. <p>There are many reasons why this is an important film:<p>Firstly the subject matter - drug addiction and it's effect on all our lives - is intelligently and thoughtfully explored.  Not something one encounters often in films noawadays.<p>Secondly the production and direction are masterful.  The Director uses many innovative techniques to create emotions often outside of the cinematographic repertoire.  The final half of the film feels as if you are in a mad dizzying rush forward as the film drives onwards to it's harrowing, emotional climax.  It may not be the most subtle approach but it succeeds beyond doubt. <p>Thirdly, the film is not hindered by nostalgia, it is brutally honest in how it thinks the protagonists would behave in real life and attains a strong degree of realism.  The result of this is that the film is often harrowing and disturbing but never greatuitously.  The viewer is not manipulated and treated in a condescending way as in so many films - this feels real.<p>Fourthly, the performances are first-rate - Ellen Burstyn in particular puts in a great turn as the doting mother with an inadverent addiction to slimming pills. <p>Darren Aronofsky, the Director, shows a uniquely compelling approach with serious subject matter.  This is a film to watch and consider; it will stay with you long after it has finished - altogether superior film-making.<p>Hugely recommended!", 5.0
6586046,"This wasn't amazing, but it was great, and it was different.  The special effects were neat.  The story was unpredictable, and sometimes uninterpretable, but in a sea of generic rehashed movies coming from Hollywood, I appreciated this movie alot.", 4.0
2510469,"Hong Kong phooey is one of those shows that should have had more episodes made... I thought that the cartoon was a light hearted poke at the Kung Fu era.. Scatman really brings Hong Kong to life and really makes you this think the character exists.. Penrod would get his cases when Rosemary or the Sarg would talk about the latest crime.. As Hong Kong Phooey, he is not too sure footed. He solves cases by accident or with the help of spot...<br /><br />This show is a lot of fun and has some great Behind the scenes stuff on the show and even some commentary from the people who made the show... Too bad there wasn't any interview footage from some of the voice cast...<br /><br />Even though the cartoon is not up to what kids expect today, the water color backgrounds give it that classic look...<br /><br />Favorite episodes<br /><br />Car Thieves<br /> Zoo Story<br />Professor Crosshatch<br />The Claw<br />Hong Kong Phooey Vs Hong Kong Phooey (Could have had the double in the same color robe)<br />Batty Bank Mob<br />Stop horsing Around<br />The Great Movie Mystery (Richard Dawson as Eric Von Eric)<br /><br />Most times he depends on his Hong Kong Book of Kung Fu to figure out how to get out of a jam.. It often messes him up or has something funny happen.. Got to love the magic Phooeymobile! Could turn into anything ""Ice Cream float and a fishing float.""<br /><br />He is a hero that has the skills but does not quite know how to use them right... Smiles all around.. :-)", 5.0
3474217,"Wonderful movie. First saw part of this on a transatlantic flight back in May 2010. Only caught the end of it so was waiting for it to come out on DVD. Great story, great acting, a real keeper. Made my husband watch it (even tho he hates real life/dramas) and he was really moved by it. What I love is how it gives you a perspective on the world of autism. How Temple's emotions are portrayed contrasting to what is going on around is very cleverly executed. I have never considered how hard it would be to enter through a automatic sliding door if I were autistic; just simple things we do every day aren't easy for Temple and I think the movie did a great job of illustrating that. One of the best movies I've seen this year.", 5.0
4474187,"This review specifically concerns the 2 disc special edition which is one of, if not the best dvd's I have yet to see produced for the money!!!<br /><br />Yes...I liked the Broadway show the three times I saw it,but I LOVED the movie.Yes, there were alterations, as there always are, when a stage show hits the big screen.I happened to be one of the viewers who thought that the movie took the live show to another height under the direction of Chris Columbus.What is EXCEPTIONAL is disc 2 of this dvd which features an amazing two hour documentary about the development of RENT and it's composer Jonathan Larson.You will learn about Larson and his incredible journey to turn musical theatre around for the MTV Generation.Also,the characters for RENT are based out of his real life struggle as an artist and the lives of his friends.Though Puccini's LA BOHEME gives RENT it's foundation,it is Larson's life and friends that give RENT it's substance.It contains fascinating and heartfelt interviews with the original cast,family,producers and friends.You will learn about the development of RENT from it's earliest inception up to and through the making of the film.Your viewing of the film will be that much richer after seeing this wonderfully produced and insightful documentary...ABSOLUTELY FIRST RATE.It is every bit as compelling as the movie itself.Not often is there such an amount of material for the money.", 5.0
1266303,"After long lines and sold out days, I eventually got an opportunity to see the movie.<br />This movie deserves the thumbs up, however, there were some scene transitions that weren't smooth, I'd leave that to your opinion when you see it. Also, the deceptacons got alot more air time that the autobots. There were some ""over the head"" one liners that were very funny. Generally, it was a very entertaining movie, it was witty, and the sound/special effects were awsome!!!", 4.0
429275,My great grandson loves the Toy Story 2 DVD. The service I got in ordering this product was handled very quickly and very professionally. I am pleased with this service., 5.0
3857418,"The basic question is worth asking. Start with a world of natural and synthetic bodies, natural and synthetic thoughts, and all combinations along both axes. What percentage of each does it take for some mind in some body to be human?<p>The lead character is well placed to ask the question. She convincingly answers the question in her own case. The plot that carries her along is a man(?)-hunt in a futuristic urban landscape. For all its skyscrapers and other features, the city still has its crowded streets, banners, and open store fronts. They are part of the answer, functioning human communities in a man-made physical environment.<p>The animation was uniformly good throughout, but I found the script to have a choppy pace. There were long, leisurely canal rides between the chases and shooting, and long philosophical monologues. As long as the director chose an action movie for a vehicle, I would have preferred to see the basic questions acted out rather than spoken.<p>This anime well done, but the plot is too inconsistent for me to call it great. It's a good one, though, and I keep coming back to it.", 4.0
2451637,"I can see why this film was scorned back in the 70's. It is hard to sit down and watch this film without wondering if there is something wrong with you. The rape scenes are long, brutal, and unrelenting. What makes this film so tough to watch is the fact that the actress is raped not once, twice, three, or four, but five times! Worse, the rape scenes make up the bulk of the movie, so basically you're watching a woman being raped at length for what seems like most of the film's running time. Infamously, Roger Ebert was moved to call this film ""vile garbage""!<br /><br />Still, the film is brilliant in that it clearly uses shock to show how terrible rape is and how a woman suffers during the ordeal. But that's only part of the story. This is a rape-revenge movie. So after the rape, comes the revenge. Most of the women who have championed this movie have praised the revenge section of the film. Most men seem to hate the actress for taking her revenge to the umpteenth degree. ""Violence definitely breeds more violence"" as the saying goes. And this film is very, very violent. This is not family friendly entertainment!<br /><br />I personally think this film does have a positive message and that message is: if a man takes away a woman's right to control what happens to her body, he could end up having a very bad day.", 4.0
1973186,"I had The Help pegged as another one of those chick lit movies that middle aged women go to see in droves.  After the fiasco that was Eat, Pray, Love, I had a hard time trusting my mother's ability to pick out a film for us to watch.  Female sagas of love and harrowing times seems overdone, clich&eacute;, boring.  I expected The Help to be just another blah movie that left me cold and unsatisfied.<br /><br />The Help is the story of a young college grad named Skeeter, an aspiring journalist, and her attempt to tell the stories of the black maids that lived and worked for white families in Jackson, Mississippi in the early 1960s.  Skeeter is a feisty girl who doesn't want to live the life that society has her pegged for - an obedient housewife who plays bridge and gives birth to babies she won't even care for.  The biggest influence in her life was her family's housekeeper Constantine, the black woman who raised her when her mother ignored her in favor of friends and shopping.  Constantine inspires her to seek out these maids and ask them to tell their stories and experiences, challenging the status quo of society in a great period of racial turmoil in Jackson.  The story combines hope, fear, hatred, and willpower from various viewpoints, telling the stories of various women whose lives are deeply affected by Skeeter's goal.<br /><br />Viola Davis' performance as Aibileen, a maid for a well-to-do Jackson socialite, is impressive, along with Emma Stone's solid performance as Skeeter, but the star of The Help is Octavia Spencer's amazing and heartfelt portrayal of Minnie.  While only a supporting role, Spencer's performance was superb and Oscar-worthy, bringing together a sense of comedy with fear and anger, not only at the family she works for but also the life that she's been forced to live and pull her children through.<br /><br />The performances are what makes this story and brings it to life.  I haven't read the book and cannot speak for it, but everything I saw on screen felt real and powerful.  The lives of these women, from the maids to the snotty housewives and socialites, from the budding journalists to the despairing young wives trying to satisfy their husbands and their societies, each was affecting and felt true and powerful.<br /><br />I went into the movie expecting boring and dull.  I left satisfied and ready to talk about these times, wanting to know more about the time period and ask my grandparents (from the deep south) about their experiences during the time.  The people in my theater, men and women alike, young and old, black and white, all seemed to enjoy the movie.  I would definitely recommend this movie to anyone, regardless of their potential feelings.  It's a movie worth seeing, especially for the award-caliber performances given by some amazing actresses.", 5.0
7217681,"Am I the only one who thinks that John Woo is overrated?  I have enjoyed many of his films, but he has become a parody of himself.  In any given John Woo film, you are sure to see doves fluttering through the air, a stand-off between two protagonists simultaneously pointing guns at each other, a woman whose only real reason for being in the film is to form a triangle with said protagonists, far too much slow motion photography and a healthy dose of obvious religious imagery that has little, if anything, to do with the story.  This time around, I just couldn't work up any interest in what I was seeing.  It all felt so tired and old.  And that motorcycle duel belongs on a short list of the most ludicrous action sequences I have ever seen.  This film is only for those who believe that Woo can do no wrong.", 2.0
7580677,"Like you probably are, I expected to see the Felix the Cat that I grew up with here, running around with his magic bag of tricks.  That's not what this DVD is about exactly.<p>These are some of the original Felix the Cat cartoons.  Way before the character we all immediately recognize as Felix was developed.  These are silent cartoons (just a soundtrack played in the background with the occasional screen-sized caption for dialogue or plot).  The art is fairly basic, but the animation is still all right.<p>That's not to say that this DVD is not etertaining.  It can be quite funny, and it's really interesting to see this very early stage of Felix's evolution.  For collector's and die-hard Felix fans, it's a must.  But for the majority of us who just remember an old friend that we love it's something of a disappointment.", 3.0
997488,"After watching BLOOD DIAMOND, this was really a ""sleeper"" for me. Maybe its a typical ""guy movie"" but all I know is, I kept falling asleep. I would never watch it again, nor buy it. How it got those great ratings, I'll never know.  I loved this guy in the BOURNE movies, because they had action. It also threw me with all the accents and names, and the low tone of their voices making it hard to hear. I think his life had to be hell to live like that, but then he seemed to really enjoyed it.", 2.0
2570467,"The story is very simple.  It's about a champion ballroom dancer who has always wanted to dance his own unconventional steps.  Doing so, however, he might please the crowd, but not the judges.  Three weeks before the Pan Pacific competition, Scott Hastings (the protagonist) has a falling out with his partner for this reason.  Little does he know that by teaching a beginner to dance the way he wants to dance, his world would be turned upside down.  At the core, this is a lovestory between Scott and his ""ugly-duckling"" student Fran (short for Francesca).<p>The choreography is nothing short of stunning.  The dancing is an integral part of the movie.  It tells part of the story.  The protagonist ends up learning a new style of dancing called Para Dos (Spanish for ""for two"") as he reaches a point in the story where he realizes that his life is not to be lived alone anymore; when he finds love.<p>This film catapulted Baz Luhrmann's career.  He eventually followed up with films like Romeo and Juliet and Moulin Rouge, incorporating a similar style of audacious characters with love songs from the 80s.  Another reason why I like his films is for the humor.  You leave feeling cheerful.  I guess I'm still a kid at heart, and I like my stories to end ""... and they lived happily ever after.""<p>LEAP rating (each out of 5):<br />============================<br />L (Language) - 4 (the dancing and music helped in telling the story as well)<br />E (Erotica) - 0 (n/a - unfortunately)<br />A (Action) - 0 (n/a - the dancing was amazing)<br />P (Plot) - 3 (simple love story)", 5.0
4017711,"A wonderfully crafted film!  We love it!  It's visually beautiful with wonderful acting that is believable and real.<br /><br />I pause to make the comment about how anybody could give this film three stars. This is not contrived Disney-like dribble in the least. I actually gravitate toward Foreign cinema because it is just exactly the opposite of American dribble. It's just that people today are so negative, they can't handle anything loving and good with out tearing it down because they are empty inside and have an attitude of ""if I am not happy, no one else can be happy either.""  Hmm, sounds like selfishness and an over inflated sense of self.  Hey, no wonder you're miserable.<br /><br />never-the-less . . .<br /><br />You grow to love the main characters and empathize with them.  You know this film has something good ahead.  It's fun along the way.  Little bits of sunshine and happiness.<br /><br />The film's core theme is true: don't get so wrapped up in yourself and your troubles that you forget to tell the important people in your life, ""I love you.""  The little French girl (brilliant little actress)in the film is in many ways a metaphor for a beautiful butterfly herself. Or is the butterfly their friendship (the grandfather figure and little girl?)<br /><br />You know this film will end happily (it has to), but you just don't know exactly how.  It's like, your going to get a gift; but what?<br /><br />To the end, your like, ""What's going to happen?""<br /><br />And the film keeps rewarding you again and again emotionally right up to ""FIN"".<br /><br />The world definitely needs more films like this gem!  The same emotional flavor as ""My Father's Glory"", and as worthy as ""Kikijuro"" in it's poignant little story and honest heart.  As important to see as ""Salaam Bombay"" but for a much more brighter reason.", 5.0
1531717,"THis movie is so incredible stupid, ITS GREAT!!!!!!", 5.0
5017581,"This film depicts a boy getting bullied who hides from them on a book store which he then takes a book called The Neverending Story. He cuts class to read the book. In a world called Fantasia, a terrible Nothing is detrsoying that world. Only a warrior boy is destined to save it while the kid continues to read the book which is seeming to be real. A worthwhile fantasy film.", 4.0
15431,"This film is underrated by both regular movie goers and Argetno fans, usually it is panned because of how bizzare it is, but the thing about an Argento film is that he has never been good at writing a narrative . For him the important thing is to affect you emotionally and psychologically, not in an intellectual way. This is probably his most bizzare and his most beautiful film. It is about a girl named Jennifer Corvino(Jennifer Connelly) who enrolls in a Swiss boarding school and her classmates are being murdered by a mysterious killer. She has a gift of being able to communicate telepathically with insects and with the help of an entomologist(Donald Pleasence) she tracks down the killer using her power. While i admit some of the narrative seems somewhat ridiculous it is a lush and beautiful film which has the feeling of a dream and Jennifer Connelly who has also starred in DARK CITY and REQUIEM FOR A DREAM is good enough in her first leading role. It also features a great musical score by Goblin and Bill Wyman. It also features the director's wife, Daria Nicolodi, and his one of his daughters, Fiore Argento. Watch for her in the impressive and scary opening sequence. You will notice this film is similar in many ways to SUSPIRIA but it manages to stand on it's own. In what other film will you see a monkey running wild with a razor blade!", 4.0
4091514,I received my dvds of Vampire Diaries Season 2 REALLY fast. I appreciate and love the experience. Thanks and keep up the GOOD work!, 4.0
5257409,"It's a long time since Ian Curtis's solemn laments of thwarted love have hit my turntable. And in spite of the longevity of Joy Division's successor, New Order, I confess that the demise of Curtis, an authentic Rock tragic, singled the demise of my interest in their music. What explanation is there for an attraction to talent extinguished prematurely; the titillation of having glimpsed, sometimes stared at some gift that was squandered? In many instances, and Curtis's is among them, early, meteoric talent most likely was fufilled...fatalism was written into it, the biography and art in perfect tandem. Their music already sounded as if it was rising from the grave, a severly cold other place. That's what the popular press has continued to feed us over the ensuing decades. In this sense Corbijn's film is no exception. You buy the Q magazines or NME, whatever, for some fresh insight to such legends. But there isn't any. The film's script has been anticipated in the music; alienation of the inner, poetic self from the cramped and dour quotidian life of cramped, urban, Macclesfield. The band's public image, as per Corbijn's recreation has been honorably projected, mesmerizingly so by Sam Riley...the entire slow surge of its black and white cinematography inexorably, hauntingly moving toward the last gasp in that sad little kitchen. The acting is so convincing that you often feel it's a documentary rather than an interpretation. There is no sensationalism to be found in Curtis's life or death. For all its Doors-like anthemic sound, Curtis was no aspirant Jim Morrison.", 4.0
2079786,"This movie is great, the story is beautiful and the animation couldn't be better. I don't have any children and I still enjoy it very much. You will get emotionally attached to these wonderful characters. I would love it if they made a second one.", 5.0
929226,"This is a very broad overview of pop and rock history UP TO 1980.  This is pop history acording to baby-boomers.<br /><br />The last 25 years of music are completely ignored.<br /><br />But all in all, it was enjoyable to watch and the producers did well given the large topic and range of tastes.<br /><br />They really need to update this for the last 20 years.  Hip-hop. Grunge. Electronic. Harcore. Boy Bands.", 4.0
6760289,"While most films that fall under the Giallo banner are far more style than substance, this one rises far above all of that.  Among Dario Argento's finest works, it is an eerie psychological thriller which is part Hitchcock, part Raymond Chandler novel, and part Cinecitta.  The story is believable and captivating, the suspense is chilling, the acting is superb.  Of course there's great music, with Ennio Morricone at the helm of the sounds, and of course there's all kinds of good-looking people, cool cars, and stylish set pieces, just as you'd expect from an Italian film from 1970.  But with this film those extras are minor attractions, and the film itself is what keeps you watching.", 5.0
